RecordType;Schema;Name;Type;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;TR_AU_CO_CONTRACT_AVAIL_PERIOD;TRIGGER;30253898;113;0;3;0.008849557522123894;1.0
1;TKMTS;VW_STATEMENT_CLIENTS;VIEW;30069047;0;1;0;0;0.0
1;TKMTS;MVW_STATEMENT_CLIENTS;MATERIALIZED VIEW;30069050;0;0;1;0;1.0
1;TKMTS;TR_CO_RELEASEQTY_CTRY;TRIGGER;30316462;25;0;3;0.04;1.0
1;TKMTS;CO_PRICELINESTATUSHIS_TRC;TRIGGER;30320316;69;0;0;0.014492753623188406;0
1;TKMTS;TMP$$_ESB_COMMCONTROL_TRC0;TRIGGER;2999509;42;0;0;0.023809523809523808;0
1;TKMTS;ESB_COMMCONTROL_TRC;TRIGGER;30521006;71;0;0;0.014084507042253521;0
1;TKMTS;TR_BU_CO_PRICELINE_RATE_CK;TRIGGER;30497182;44;0;0;0.022727272727272728;0
1;TKMTS;PAC_MIGRATION_RI;PACKAGE;30487133;485;1;0;0.002061855670103093;0.0
1;TKMTS;F_GET_MEETINGPOINT;FUNCTION;30494056;70;0;0;0.014285714285714285;0
1;TKMTS;PAC_ZONE_RI;PACKAGE;30497933;2351;1;0;0.0004253509145044662;0.0
1;TKMTS;PAC_ZONE_RI;PACKAGE BODY;30497934;2351;0;10;0.0004253509145044662;1.0
1;TKMTS;TR_LOG_CO_CONTRACTUNIT;TRIGGER;30502676;264;0;0;0.003787878787878788;0
1;TKMTS;PAC_ESB_EPA;PACKAGE;30502705;1658;1;0;0.0006031363088057901;0.0
1;TKMTS;PAC_ESB_EPA;PACKAGE BODY;30502706;1658;0;4;0.0006031363088057901;1.0
1;TKMTS;TR_AIU_STOCKPICKUPPOINT_PICKUP;TRIGGER;30508988;74;0;1;0.013513513513513514;1.0
1;TKMTS;TR_AU_OD_COM_CONDITION;TRIGGER;30520841;118;0;0;0.00847457627118644;0
1;TKMTS;PAC_ZONE_RO;PACKAGE;30522878;2559;1;0;0.00039077764751856197;0.0
1;TKMTS;PAC_ZONE_RO;PACKAGE BODY;30522879;2559;0;10;0.00039077764751856197;1.0
1;TKMTS;PAC_COVID19_EMERGENCY_ACTIONS;PACKAGE;30548946;1086;1;0;0.0009208103130755065;0.0
1;TKMTS;PAC_COVID19_EMERGENCY_ACTIONS;PACKAGE BODY;30548952;1086;0;2;0.0009208103130755065;1.0
1;TKMTS;P_CANCEL_BOOKING_COVID19;PROCEDURE;30538847;171;0;1;0.005847953216374269;1.0
1;TKMTS;TR_LOG_CO_AVAILABILITY;TRIGGER;30553541;244;0;0;0.004098360655737705;0
1;TKMTS;TR_LOG_CO_CLIENTVISIBILITY;TRIGGER;30553587;218;0;0;0.0045871559633027525;0
1;TKMTS;VW_CONTRACTUNITS_ALLOWED_ALL;VIEW;30553593;0;1;0;0;0.0
1;TKMTS;TR_LOG_CO_CONTRACT;TRIGGER;30611012;456;0;0;0.0021929824561403508;0
1;TKMTS;MVW_STATEMENT_SERVICECODES;MATERIALIZED VIEW;30587186;0;0;0;0;0
1;TKMTS;BO_ITEM_CXL_TRC;TRIGGER;30638542;60;0;0;0.016666666666666666;0
1;TKMTS;PAC_ESB_NOTIFY_RI;PACKAGE BODY;30621713;1824;0;3;0.0005482456140350877;1.0
1;TKMTS;PAC_ESB_NOTIFY_RI;PACKAGE;30621712;1824;2;0;0.0005482456140350877;0.0
1;TKMTS;PAC_FLOW_EXCHANGERATE_RI;PACKAGE;30621714;96;1;0;0.010416666666666666;0.0
1;TKMTS;PAC_FLOW_EXCHANGERATE_RI;PACKAGE BODY;30621715;96;0;5;0.010416666666666666;1.0
1;TKMTS;PAC_ESB_NOTIFY_RI2;PACKAGE;30622561;1797;2;0;0.0005564830272676684;0.0
1;TKMTS;PAC_ESB_NOTIFY_RI2;PACKAGE BODY;30622562;1797;0;3;0.0005564830272676684;1.0
1;TKMTS;PAC_FLOW_EXCHANGERATE_RI2;PACKAGE;30622563;94;1;0;0.010638297872340425;0.0
1;TKMTS;PAC_FLOW_EXCHANGERATE_RI2;PACKAGE BODY;30622564;94;0;5;0.010638297872340425;1.0
1;TKMTS;MVW_STATEMENT_STOCKSERVICES;MATERIALIZED VIEW;30627772;0;0;1;0;1.0
1;TKMTS;TR_AI_BO_ITEM_PAX_QUICKSEARCH;TRIGGER;30637333;51;0;0;0.0196078431372549;0
1;TKMTS;TR_AI_BO_ITEM_QUICKSEARCH;TRIGGER;30637334;54;0;0;0.018518518518518517;0
1;TKMTS;PAC_CONTRACT_BREAKLINE_RO;PACKAGE;30638586;4105;1;0;0.000243605359317905;0.0
1;TKMTS;PAC_CONTRACT_BREAKLINE_RO;PACKAGE BODY;30638932;4105;0;10;0.000243605359317905;1.0
1;TKMTS;TR_AIU_POINTLOCGROUP_CHECK;TRIGGER;30669126;52;0;0;0.019230769230769232;0
1;TKMTS;PAC_DYNAMIC_QUERY_INBOX_RI;PACKAGE;30655487;2188;1;0;0.0004570383912248629;0.0
1;TKMTS;PAC_XML_CLIENTVISIBILITY_RI;PACKAGE BODY;30663518;1264;0;12;0.0007911392405063291;1.0
1;TKMTS;PAC_XML_CLIENTVISIBILITY_RI;PACKAGE;30663524;1264;1;0;0.0007911392405063291;0.0
1;TKMTS;PAC_XML_CLIENTVISIBILITY_RI2;PACKAGE;30677039;1139;1;0;0.000877963125548727;0.0
1;TKMTS;PAC_XML_CLIENTVISIBILITY_RI2;PACKAGE BODY;30677041;1139;0;12;0.000877963125548727;1.0
